#tileswide 30
#tileshigh 16
#tilewidth 32
#tileheight 32
#layer 0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
7,8,9,9,26,26,26,26,26,26,26,26,9,9,9,9,9,9,9,9,9,9,9,26,26,9,9,9,10,3,
7,15,27,16,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,16,16,16,16,26,26,16,16,11,3,
7,15,26,26,26,26,16,16,16,16,16,26,26,26,26,26,26,26,26,26,16,16,16,16,16,26,26,26,11,3,
7,15,26,26,27,26,16,16,16,16,16,16,16,16,16,16,16,16,16,26,26,26,26,16,16,16,16,26,26,3,
7,15,26,26,16,26,16,16,16,26,16,16,16,16,16,16,26,16,16,16,26,26,26,26,16,16,16,16,26,3,
7,15,16,16,16,16,16,16,16,26,16,16,16,27,16,16,26,26,16,16,16,26,16,26,26,26,16,16,26,3,
7,15,26,26,16,16,16,16,16,26,16,16,16,16,16,16,26,26,16,16,16,26,16,27,16,26,16,26,26,3,
7,15,26,26,26,26,16,16,16,26,26,26,26,26,26,26,26,26,26,16,16,26,16,16,26,26,16,26,26,3,
7,15,16,26,16,26,16,16,16,16,26,26,26,26,26,26,26,16,26,16,16,26,16,16,26,16,16,16,26,3,
7,15,16,26,26,26,26,26,16,16,16,16,16,16,16,26,26,16,26,26,16,16,16,16,16,16,16,26,26,3,
7,15,16,26,26,26,26,26,16,16,16,16,16,16,16,26,16,16,16,26,16,16,16,16,16,16,26,26,11,3,
7,15,26,26,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,26,26,16,16,16,16,26,26,16,11,3,
7,15,16,16,26,26,16,16,16,16,16,26,16,16,16,16,16,16,16,16,26,26,26,26,26,26,16,16,11,3,
7,14,13,13,13,13,13,13,13,13,13,26,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,3,
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,

